user_id,purchase,pay_dt,media_source
16334eca,0.99,2021-10-07,Facebook Ads
16334eca,0.99,2021-10-02,Facebook Ads
1663504f,2.99,2021-10-23,Google Adwords
1667978d,0.99,2021-10-08,Facebook Ads
16765845,0.99,2021-10-05,Google Adwords
168162eb,2.99,2021-10-19,Facebook Ads
168162eb,2.99,2021-10-19,Facebook Ads
168468a3,0.99,2021-10-21,Facebook Ads
16884cc6,0.99,2021-10-23,Google Adwords
168b959e,0.99,2021-10-21,organic
168d1169,0.99,2021-10-21,Google Adwords
168d1169,0.99,2021-10-21,Google Adwords
1691ba21,0.99,2021-10-23,organic
169fce39,0.99,2021-10-11,Google Adwords
169fce39,0.99,2021-10-15,Google Adwords
169fce39,0.99,2021-10-15,Google Adwords
169fce39,0.99,2021-10-12,Google Adwords
169fce39,0.99,2021-10-17,Google Adwords
16a4dce3,0.99,2021-10-13,Facebook Ads
16b0626f,0.99,2021-11-06,Google Adwords
16b0626f,0.99,2021-11-03,Google Adwords
17118c67,0.99,2021-10-07,Facebook Ads
17132d1b,0.99,2021-10-13,Facebook Ads
17132d1b,0.99,2021-10-13,Facebook Ads
1739a9d1,0.99,2021-10-11,Facebook Ads
173eb2a0,2.99,2021-10-31,Google Adwords
1773a1b5,0.99,2021-10-15,organic
1774052c,0.99,2021-10-09,Facebook Ads
1774052c,0.99,2021-10-09,Facebook Ads
177a2d46,0.99,2021-10-25,Google Adwords
17aa969e,2.99,2021-10-16,Google Adwords
17aa969e,0.99,2021-10-16,Google Adwords
17b6a697,0.99,2021-10-03,Google Adwords
17c9db2c,0.99,2021-10-15,Google Adwords
17c9db2c,0.99,2021-10-11,Google Adwords
17c9db2c,0.99,2021-10-12,Google Adwords
17dbb303,0.99,2021-10-11,Google Adwords
17dbb303,2.99,2021-10-11,Google Adwords
180d2c5a,0.99,2021-10-27,Facebook Ads
181e552a,0.99,2021-10-20,Google Adwords
1822f272,0.99,2021-10-26,Facebook Ads
184812a7,0.99,2021-10-16,Google Adwords
184812a7,0.99,2021-10-16,Google Adwords
184ede48,0.99,2021-10-02,Facebook Ads
184ede48,0.99,2021-10-02,Facebook Ads
184ede48,0.99,2021-10-02,Facebook Ads
185d897b,0.99,2021-10-27,Google Adwords
185d897b,2.99,2021-10-27,Google Adwords
1873e06f,2.99,2021-10-22,Facebook Ads
1873e06f,0.99,2021-10-22,Facebook Ads
1881143d,4.99,2021-10-09,Google Adwords
1881143d,0.99,2021-10-09,Google Adwords
